Step,Loss,Learning Rate,Epoch,Global Step,accuracy,mean_precision
129,0.677,6.450000000000001e-05,2.1880341880341883,129,N/A,N/A
130,0.0275,6.500000000000001e-05,2.2051282051282053,130,N/A,N/A
131,0.1321,6.55e-05,2.2222222222222223,131,N/A,N/A
132,0.3674,6.6e-05,2.2393162393162394,132,N/A,N/A
133,0.0231,6.65e-05,2.2564102564102564,133,N/A,N/A
134,0.0406,6.7e-05,2.2735042735042734,134,N/A,N/A
135,0.0377,6.750000000000001e-05,2.2905982905982905,135,N/A,N/A
136,0.0084,6.800000000000001e-05,2.3076923076923075,136,N/A,N/A
137,0.0107,6.850000000000001e-05,2.324786324786325,137,N/A,N/A
138,0.0075,6.9e-05,2.341880341880342,138,N/A,N/A
139,0.501,6.95e-05,2.358974358974359,139,N/A,N/A
140,0.0037,7e-05,2.376068376068376,140,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9776119402985075,0.9736895288619426
141,0.005,7.05e-05,2.393162393162393,141,N/A,N/A
142,0.0032,7.1e-05,2.41025641025641,142,N/A,N/A
143,0.4958,7.15e-05,2.427350427350427,143,N/A,N/A
144,0.0011,7.2e-05,2.4444444444444446,144,N/A,N/A
145,0.4053,7.25e-05,2.4615384615384617,145,N/A,N/A
146,0.0041,7.3e-05,2.4786324786324787,146,N/A,N/A
147,0.0989,7.35e-05,2.4957264957264957,147,N/A,N/A
148,0.0016,7.4e-05,2.5128205128205128,148,N/A,N/A
149,0.0016,7.450000000000001e-05,2.52991452991453,149,N/A,N/A
150,0.0022,7.500000000000001e-05,2.547008547008547,150,N/A,N/A
151,0.1731,7.55e-05,2.564102564102564,151,N/A,N/A
152,0.002,7.6e-05,2.5811965811965814,152,N/A,N/A
153,0.0011,7.65e-05,2.5982905982905984,153,N/A,N/A
154,0.0007,7.7e-05,2.6153846153846154,154,N/A,N/A
155,0.0004,7.75e-05,2.6324786324786325,155,N/A,N/A
156,0.0323,7.800000000000001e-05,2.6495726495726495,156,N/A,N/A
157,0.4798,7.850000000000001e-05,2.6666666666666665,157,N/A,N/A
158,0.3264,7.900000000000001e-05,2.683760683760684,158,N/A,N/A
159,0.0004,7.950000000000001e-05,2.700854700854701,159,N/A,N/A
160,0.356,8e-05,2.717948717948718,160,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716,0.9792626728110599
161,0.0008,8.05e-05,2.735042735042735,161,N/A,N/A
162,0.0059,8.1e-05,2.752136752136752,162,N/A,N/A
163,0.0906,8.15e-05,2.769230769230769,163,N/A,N/A
164,0.002,8.2e-05,2.786324786324786,164,N/A,N/A
165,0.0034,8.25e-05,2.8034188034188032,165,N/A,N/A
166,0.0038,8.3e-05,2.8205128205128203,166,N/A,N/A
167,0.0028,8.35e-05,2.8376068376068377,167,N/A,N/A
168,0.0009,8.4e-05,2.8547008547008548,168,N/A,N/A
169,0.0006,8.450000000000001e-05,2.871794871794872,169,N/A,N/A
170,0.0005,8.5e-05,2.888888888888889,170,N/A,N/A
171,0.0002,8.55e-05,2.905982905982906,171,N/A,N/A
172,0.0002,8.6e-05,2.9230769230769234,172,N/A,N/A
173,0.0004,8.65e-05,2.9401709401709404,173,N/A,N/A
174,0.0004,8.7e-05,2.9572649572649574,174,N/A,N/A
175,0.0003,8.75e-05,2.9743589743589745,175,N/A,N/A
176,0.0011,8.800000000000001e-05,2.9914529914529915,176,N/A,N/A
177,0.0001,8.850000000000001e-05,3.0,177,N/A,N/A
178,0.0004,8.900000000000001e-05,3.017094017094017,178,N/A,N/A
179,0.0001,8.950000000000001e-05,3.034188034188034,179,N/A,N/A
180,0.0003,9e-05,3.051282051282051,180,N/A,N/A
N/A,N/A,N/A,N/A,N/A,0.9850746268656716,0.9805860805860807
181,0.0002,9.05e-05,3.0683760683760686,181,N/A,N/A
182,0.0003,9.1e-05,3.0854700854700856,182,N/A,N/A
183,0.0005,9.15e-05,3.1025641025641026,183,N/A,N/A
184,0.0003,9.200000000000001e-05,3.1196581196581197,184,N/A,N/A
185,0.4629,9.250000000000001e-05,3.1367521367521367,185,N/A,N/A
186,0.0002,9.300000000000001e-05,3.1538461538461537,186,N/A,N/A
187,0.0005,9.350000000000001e-05,3.1709401709401708,187,N/A,N/A
188,0.0002,9.4e-05,3.1880341880341883,188,N/A,N/A
189,0.0005,9.449999999999999e-05,3.2051282051282053,189,N/A,N/A
190,0.2088,9.5e-05,3.2222222222222223,190,N/A,N/A
191,0.0006,9.55e-05,3.2393162393162394,191,N/A,N/A
192,0.2313,9.6e-05,3.2564102564102564,192,N/A,N/A
193,0.0002,9.65e-05,3.2735042735042734,193,N/A,N/A
194,0.0002,9.7e-05,3.2905982905982905,194,N/A,N/A
195,0.1527,9.75e-05,3.3076923076923075,195,N/A,N/A
196,0.0005,9.8e-05,3.324786324786325,196,N/A,N/A
197,0.0006,9.850000000000001e-05,3.341880341880342,197,N/A,N/A
198,0.2167,9.900000000000001e-05,3.358974358974359,198,N/A,N/A
